2025-10-28 19:19:27 | INFO     | main                 | vdedup started with args: -q 1-5 -g -L -c INFO -o .\tmpvd8\ -r .\stars\
2025-10-28 19:19:27 | INFO     | main                 | Output directory: D:\Pictures\Saved\tmpvids\tmpvd8
2025-10-28 19:19:27 | INFO     | main                 | Quality level: 1-5
2025-10-28 19:19:27 | INFO     | main                 | Logging to: D:\Pictures\Saved\tmpvids\tmpvd8\vdedup-q1-5.log
2025-10-28 19:19:27 | INFO     | main                 | Live UI enabled - suppressing console output
2025-10-28 19:19:27 | INFO     | main                 | Starting SCAN mode for directories: ['.\\stars\\']
2025-10-28 19:19:27 | INFO     | main                 | Total directories to scan: 1
2025-10-28 19:19:27 | INFO     | main                 | File patterns: ['*.mp4']
2025-10-28 19:19:27 | INFO     | main                 | Pipeline stages: 1-5
2025-10-28 19:19:27 | INFO     | main                 | Cache file: D:\Pictures\Saved\tmpvids\tmpvd8\vdedup-q1-5-cache.jsonl
2025-10-28 19:19:27 | INFO     | main                 | Report file: D:\Pictures\Saved\tmpvids\tmpvd8\vdedup-q1-5-report.json
2025-10-28 19:19:27 | INFO     | main                 | Pipeline configuration: threads=8, GPU=True, subset_detect=False
2025-10-28 19:19:27 | INFO     | main                 | Creating ProgressReporter...
2025-10-28 19:19:27 | INFO     | main                 | Live UI (-L) enabled
2025-10-28 19:19:27 | INFO     | main                 | Starting ProgressReporter...
2025-10-28 19:19:27 | INFO     | main                 | ProgressReporter started successfully
2025-10-28 19:19:27 | INFO     | main                 | Initializing hash cache...
2025-10-28 19:19:27 | INFO     | main                 | HashCache created
2025-10-28 19:19:27 | INFO     | main                 | HashCache opened for append
2025-10-28 19:19:27 | INFO     | main                 | Parsing pipeline stages: 1-5
2025-10-28 19:19:27 | INFO     | main                 | Active pipeline stages: [1, 2, 3, 4]
2025-10-28 19:19:27 | INFO     | main                 | Unlimited depth roots: 1
2025-10-28 19:19:27 | INFO     | main                 | Finite depth roots: 0
2025-10-28 19:19:27 | INFO     | main                 | Running unlimited depth pipeline on 1 roots...
2025-10-28 19:19:27 | INFO     | run_pipeline         | === run_pipeline() ENTRY ===
2025-10-28 19:19:27 | INFO     | run_pipeline         | Received 1 roots, max_depth=None, stages=[1, 2, 3, 4]
2025-10-28 19:19:27 | INFO     | run_pipeline         | Resolved scan_roots: [WindowsPath('D:/Pictures/Saved/tmpvids/stars')]
2025-10-28 19:19:27 | INFO     | run_pipeline         | Exclusions: 0 paths
2025-10-28 19:19:27 | INFO     | run_pipeline         | Calling reporter.set_status()...
2025-10-28 19:19:27 | INFO     | run_pipeline         | ✓ set_status() completed
2025-10-28 19:19:27 | INFO     | run_pipeline         | Calling reporter.start_stage()...
2025-10-28 19:19:27 | INFO     | run_pipeline         | ✓ start_stage() completed
2025-10-28 19:19:27 | INFO     | run_pipeline         | Calling reporter.update_root_progress()...
2025-10-28 19:19:27 | INFO     | run_pipeline         | ✓ update_root_progress() completed
